,docker_001,docker_002,docker_003,docker_004,docker_005,docker_006,docker_007,docker_008,os_021,os_022
docker_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
docker_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
docker_003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.525,0.0
docker_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.508,0.0
docker_005,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
docker_006,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
docker_007,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
docker_008,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db_003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
db_007,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
db_009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csf,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
osb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
fly_remote,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
