,docker_001,docker_002,docker_003,docker_004,docker_005,docker_006,docker_007,docker_008,os_021,os_022
docker_001,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.2799999999997
docker_002,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.7999999999993
docker_003,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1127.125,0.0
docker_004,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,659.46,0.0
docker_005,0.0,0.0,43.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0
docker_006,0.0,0.0,52.0,46.0,0.0,9.0,0.0,0.0,0.0,0.0
docker_007,42.154999999999745,42.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
docker_008,61.39499999999953,40.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
db_003,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
db_007,90.0,85.0,90.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
db_009,87.0,75.0,86.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
csf,182.0,174.0,176.48500000000058,173.0,0.0,0.0,0.0,0.0,829.239999999998,1076.9050000000016
osb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.4899999999998,278.53500000000076
fly_remote,96.0,92.19999999999982,99.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
