,docker_001,docker_002,docker_003,docker_004,docker_005,docker_006,docker_007,docker_008,os_021,os_022
docker_001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0
docker_002,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0
docker_003,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,283.5,0.0
docker_004,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,194.0,0.0
docker_005,0.0,0.0,28.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0
docker_006,0.0,0.0,26.400000000000546,26.0,0.0,4.0,0.0,0.0,0.0,0.0
docker_007,26.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
docker_008,25.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
db_003,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0
db_007,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
db_009,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
csf,76.0,63.0,68.0,55.0,0.0,0.0,0.0,0.0,52.0,56.69999999999982
osb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,51.0
fly_remote,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
