,docker_001,docker_002,docker_003,docker_004,docker_005,docker_006,docker_007,docker_008,os_021,os_022
docker_001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.719999999999999
docker_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
docker_003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
docker_004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
docker_005,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
docker_006,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
docker_007,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
docker_008,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db_003,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
db_007,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
db_009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csf,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
osb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
fly_remote,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
